X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1773402.548,5894633.538,259,2818,60177,OPAHEKE RD (PAPAKURA),SNOWDEN PL,LORELEI PL,1524,Yes,1994/05/02 00:00:00+00,8:00,,,,,,,,,,,1773402.548,5894633.538
1771696.215,5901994.811,260,2896,52192,RANFURLY RD (MANUREWA) (SW),EVERLEA PL,WASTNEY RD,850,Yes,2008/02/18 00:00:00+00,,,3610,,95,2,2,1,0,0,3,1771696.215,5901994.811
1748616.551,5927625.855,261,11098,40290,STATE HIGHWAY 18 (UPPER HARBOUR DR),BUCKLEY AVE,UPPER HARBOUR BRIDGE (1ST ABUTMENT),1631,Yes,1992/03/05 00:00:00+00,,7D,14247,,,,,,,,,1748616.551,5927625.855
1769862.46,5914773.97,262,23506,50760,AVIEMORE DR,PAKURANGA RD (RHS),HIGHLAND PARK DR,0,Yes,1994/06/27 00:00:00+00,,,3745,,85,10,2,1,2,0,5,1769862.46,5914773.97
1769978.082,5913069.858,263,23498,50760,AVIEMORE DR,BRADBURY RD,CASCADES RD RAB,1766,Yes,2012/02/24 00:00:00+00,1700,,20014,2040,97,1,1,1,0,0,2,1769978.082,5913069.858
1754564.18,5923930.28,264,8391,22087,HINEMOA ST,BRASSEY RD,RUGBY RD,973,Yes,2003/03/07 00:00:00+00,,,,,,,,,,,,1754564.18,5923930.28
1756651.51,5932401.68,265,6877,20032,BEACH RD (EC BAYS),NEWHAVEN TCE,RAMSGATE TCE,3466,Yes,1999/08/07 00:00:00+00,,24H,,,,,,,,,,1756651.51,5932401.68
1756131.6,5934040.91,266,6888,20032,BEACH RD (EC BAYS),MONTGOMERY AVE,KNIGHTS RD,5697,Yes,2007/08/18 00:00:00+00,,24H,6132,,85,10,2,1,2,0,5,1756131.6,5934040.91
1756352.432,5937977.34,267,6911,20032,BEACH RD (EC BAYS),LONG BAY DR,END,11139,Yes,2007/03/20 00:00:00+00,,24H,2012,,86,8,3,2,1,0,6,1756352.432,5937977.34
1769099.08,5881046.548,268,2220,71029,ROULSTON ST,MASSEY AVE,ROULSTON LANE,263,Yes,2007/06/14 00:00:00+00,10:00,,940,251,92,1,6,1,0,0,7,1769099.08,5881046.548
1773385.929,5907920.219,269,26843,52306,SANDSTONE RD,CALDWELLS RD EAST (POWERPOLE RHS),START PASSING LANE RHS (SUMP LHS),0,Yes,2004/11/17 00:00:00+00,7:00,,5843,629,89,2,4,3,2,0,9,1773385.929,5907920.219
1770911.059,5905277.746,270,26086,51954,MURPHYS RD,THOMAS RD,MURPHYS PARK DR,1013,Yes,2011/09/19 00:00:00+00,800,,9194,1228,94,1,2,1,2,0,5,1770911.059,5905277.746
1771223.174,5906567.729,271,40432,51954,MURPHYS RD,HORSEFIELDS DRV,KERRYKEEL DR,2339,Yes,2010/03/06 00:00:00+00,800,7D,9277,1208,95,2,2,1,0,0,3,1771223.174,5906567.729
1771323.504,5906963.688,272,37232,51954,MURPHYS RD,WIDENING (PP RHS),ORMISTON RD (LHS),2749,Yes,2010/06/25 00:00:00+00,800,7D,8658,1117,96,1,2,1,0,0,3,1771323.504,5906963.688
1771152.171,5906266.194,273,26085,51954,MURPHYS RD,FLAT BUSH SCHOOL RD,GOLDEN POND RD,2029,Yes,2004/10/01 00:00:00+00,17:00,,2431,339,94,2,3,1,0,0,4,1771152.171,5906266.194
1771274.475,5906769.791,274,37230,51954,MURPHYS RD,TIMMER RD,GERANIUM AVE,2549,Yes,2007/09/06 00:00:00+00,7:00,,9343,1260,95,1,2,1,1,0,4,1771274.475,5906769.791
1771337.803,5907020.648,275,30034,51954,MURPHYS RD,ORMISTON RD (LHS),SALFORD CRES,2808,Yes,2005/08/08 00:00:00+00,7:00,,7923,1125,93,2,2,2,1,0,5,1771337.803,5907020.648
1769447.433,5906733.127,276,29378,53085,MICHAEL JONES DR,FRANK BUNCE GR,WALTER LITTLE WAY,753,Yes,2004/03/05 00:00:00+00,,,1722,,,,,,,,,1769447.433,5906733.127
